"Data Source","World Development Indicators",

"Last Updated Date","2022-02-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"North America","NAC","Population ages 15-19, female (% of female population)","SP.POP.1519.FE.5Y","7.22266358843676","7.47612766986371","7.76016312999886","8.04169725043017","8.28567155975329","8.47879959170157","8.65463533637281","8.78587904022341","8.88234418316515","8.96622495194994","9.05142685933882","9.16585136161601","9.2684594954327","9.34852651156723","9.39097891537454","9.38771748492901","9.35198789480522","9.28375126304016","9.17415616867314","9.0155146926772","8.80905948866005","8.5748626723885","8.30364748627074","8.01545890119563","7.7405110102729","7.4975118483001","7.29167534542916","7.12648704014401","6.99316651959499","6.87983734943607","6.78066361425576","6.68760229096782","6.61966035972377","6.57995122892395","6.56852677147411","6.58108519937217","6.5995427671344","6.63212003194037","6.67603156997571","6.724222307925","6.77138455779689","6.82828012376239","6.87337135886128","6.90786246349921","6.93604901606634","6.95950755211295","6.95329122813631","6.95005074729461","6.93923330022687","6.90634173893912","6.84753933738291","6.80319124288838","6.72203070633949","6.61240869593077","6.49474419011144","6.38424664437366","6.31809479333641","6.25838519440481","6.20380017359061","6.15427748495879","6.10944621527187",
"North America","NAC","Female headed households (% of households with a female head)","SP.HOU.FEMA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"North America","NAC","Mortality rate, adult, female (per 1,000 female adults)","SP.DYN.AMRT.FE","128.819199317451","124.859127312138","126.831238828983","128.226347924818","126.913142192025","126.544411980681","126.538455392245","125.343463787494","128.294363998198","126.53968151189","126.057710803897","123.299296433423","122.069330934679","120.764385049136","115.28496569837","111.350122723351","108.277095949418","106.171195721181","104.170544950336","100.796313889168","100.948544849555","99.2242397002892","95.9890735710485","95.2431032089799","94.1512560307492","93.709715463986","92.6493039093819","92.2826373630261","92.1576748463952","90.3991434223822","88.7009866505226","88.4383935863734","86.8823725754673","87.74888059594","87.277743419472","87.0841014768309","84.9801468210951","83.1485285923849","81.4487619107462","81.564206891311","81.1096233839934","81.6658649052168","81.2683941589754","81.0016548597274","78.9997825486429","79.0404269828785","78.3888847295757","77.0146772836797","76.3874704679818","76.5835660809267","74.658330910351","75.347183860372","75.1320277000407","75.3148784301286","76.5116249426781","77.390662790228","78.9844529675684","78.7911978596566","77.4481306498763","","",
"North America","NAC","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.86141252208965","7.1628259091895","7.875156308351","7.35252962494124","6.54930514510285","6.03301725463438","5.86448152493077","5.40695690932719","4.88578312937485","4.55641617910618","4.27538813518091","4.98222746932419","5.97415241008011","6.15583107153947","5.70492904874672","5.25633166342098","4.79832834451639","4.77033609664402","5.81827619547664","9.1527330229913","9.46060982929612","8.79361530238415","7.98492729811508","7.33701913608429","6.25135779208703","5.45916479127195","5.1038108238084","4.5780241796645","4.11275107207261","3.89105262086047","8.20683981085312",
"North America","NAC","Unemployment with advanced education, female (% of female labor force with advanced education)","SL.UEM.ADVN.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.80343783280423","3.60311389363104","3.53346677202898","3.122282442966","2.82356861862636","2.63310823692465","2.48311965693032","2.94830335891833","3.44024540823203","3.53555989558355","3.34122243351228","3.06849469258523","2.7966121029792","2.72631226974812","3.23379784551768","5.04726746078169","5.28449497774221","5.18495530045572","5.01449297485124","4.50093650427584","3.94485707104735","3.3778018255107","3.24763958658554","3.07964396698924","2.78497118354698","2.68436351849846","6.15665096888775",
"North America","NAC","Labor force participation rate, total (% of total population ages 15+) (national estimate)","SL.TLF.CACT.NE.ZS","59.4000015258789","58.843277181845","58.7999992370605","58.7000007629395","58.7000007629395","58.9000015258789","59.2000007629395","59.5999984741211","59.5999984741211","60.0999984741211","60.4000015258789","59.9961797286897","60.4000015258789","60.7999992370605","61.2999992370605","61.2000007629395","61.590399703017","62.2575714285723","63.1555319623302","63.6970958611113","63.8457256855499","64.0103526941479","64.0391858405686","64.071611809342","64.4638530476125","64.8835875453347","65.379817353437","65.6861881653585","65.9945993155414","66.5763777166767","66.5656373978159","66.2384104390095","66.3292644350675","66.2030611054033","66.508512442273","66.5280876348712","66.6476408159169","66.9644806108227","66.8920511118706","66.9235957500124","66.9377621186508","66.7279110936607","66.6084256594739","66.374259412347","66.1427714536291","66.161133619715","66.2658724921689","66.1833530937216","66.151079079173","65.5469739081924","64.9369965963975","64.3785458899903","63.9898309312554","63.5830494148667","63.2120641520031","62.9809856193669","63.0937078588799","63.1537441843656","63.1367952726572","63.376097005954","61.991433095938",
"North America","NAC","Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)","SL.TLF.ACTI.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62.1970678187196","60.940098820113","60.8197965876303","60.5980483570972","60.9037736790675","60.7407173387122","60.0286639372095","59.9370300352937","60.0975920208301","59.9463137177718","60.3072801453777","59.2746517547121","58.4278875377046","57.0797875810638","56.687629686923","56.2900747162063","56.1954049896524","55.2462022970152","54.7838888776297","53.0085299317674","51.5239020278166","51.3524570595271","51.187617050942","51.3577043922158","51.3583010558803","51.3455567922914","51.4374525832965","51.6954018118883","51.4209627275501","52.0794516425396","50.184033084235",
"North America","NAC","Average working hours of children, study and work, male, ages 7-14 (hours per week)","SL.TLF.0714.SW.MA.TM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"North America","NAC","Child employment in manufacturing, female (% of female economically active children ages 7-14)","SL.MNF.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"North America","NAC","Vulnerable employment, female (% of female employment) (modeled ILO estimate)","SL.EMP.VULN.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.88128215956148","4.65512154847197","4.70585409782971","5.06208778147561","4.99946708215322","5.00466715825332","5.01636302337129","4.82047922064469","4.64556514187272","4.63375914303118","4.52284800351207","4.46841283406527","4.5288343396202","4.50068362532987","4.42094367296697","4.4330990293532","4.40084993379234","4.2525800881827","4.38578479118194","4.34528744703459","4.2889976664457","4.37181638886122","4.38988481397872","4.26753615469253","4.2244083552946","4.15998614143239","4.23883299778636","4.19324662561661","4.12661664755261","",
